Event Id,Investigation Type,Event Date,Location,Country,Latitude,Longitude,Fatalities
20150320X15605,Accident,3/19/15,Punta del Este, Uruguay,-34.855278,-55.094166,10
20141203X42406,Accident,12/3/14,Mariquita, Colombia,5.271389,-74.869723,10
20140908X04504,Accident,9/6/14,Araracuara, Colombia,-0.584444,-72.319723,10
20130707X14623,Accident,7/7/13,Soldotna, AK,60.475278,-151.043611,10
20130321X52907,Accident,3/12/13,Almeirim, Brazil,-0.866945,-52.643611,10
20110804X33944,Accident,8/3/11,Bitung, Indonesia,1.4820335,125.148879,10
20080904X01375,Accident,8/22/08,Moab, UT,38.729723,-109.766111,10
20080409X00443,Accident,3/11/08,Santa Cruz, Peru,6.633333,-79.175834,10
20071017X01609,Accident,10/7/07,Naches, WA,46.587222,-121.352222,10
20050608X00740,Accident,5/16/05,Patagonia, Argentina,-46.066667,-71.666667,10
20041104X01760,Accident,10/24/04,Stuart, VA,36.706111,-80.192222,10
20040422X00501,Accident,3/23/04,Galveston,TX,29.3013,-94.7977,10
20011010X02069,Accident,10/10/01,Dillingham, AK,59.0397222,-158.4575,10
20020204X00179,Accident,5/21/01,Kuwana, Japan,35.0622,136.6838,10
20010503X00870,Accident,4/28/01,Roque Perez, Argentina,-35.4775,-59.275278,10
20010208X00421,Accident,1/27/01,Strasburg, CO,39.746666,-104.25,10
20001212X21820,Accident,8/26/00,La Fortuna, Costa Rica,10.4678335,-84.6426806,10
20001212X20709,Accident,3/17/00,Carreto, Panama,10.438211,-74.911974,10
20001212X20340,Accident,1/10/00,Zurich, Switzerland,47.3768866,8.541694,10
